-22.35,147.051,80
-22.361,147.049,80
-22.351,147.045,69
-22.352,147.06,68
-22.362,147.043,33
-22.364,147.059,27
-26.182,148.988,78
-26.177,148.984,75
-30.1,149.838,28
-30.389,147.728,77
-31.689,150.315,37
-31.682,150.311,54
-31.532,147.686,40
-31.648,147.26,56
-32.209,145.935,65
-32.879,148.043,51
-33.391,149.477,55
-33.287,147.703,57
-33.281,147.698,62
-33.376,148.61,45
-33.372,145.532,69
-33.373,145.551,65
-33.368,145.545,74
-33.465,145.358,51
-33.656,146.751,75
-33.658,146.774,57
-33.655,146.744,53
-33.657,146.767,55
-33.591,145.484,69
-33.593,145.503,83
-33.603,145.482,66
-33.913,146.295,52
-34.062,147.434,70
-34.361,147.978,91
-34.375,147.976,81
-34.352,146.597,100
-34.451,147.795,59
-34.6,148.595,62
-34.531,147.324,90
-34.533,147.35,90
-34.544,147.323,100
-34.546,147.349,100
-34.612,148.168,72
-34.601,148.589,49
-34.539,147.318,99
-34.541,147.343,100
-34.616,148.162,71
-34.572,147.393,79
-34.574,147.419,100
-34.588,147.417,99
-34.164,142.396,66
-34.702,146.936,64
-33.667,137.939,32
-34.532,143.627,68
-34.159,138.728,55
-34.166,138.715,27
-34.168,138.726,85
-35.121,146.543,88
-35.123,146.567,77
-34.256,138.7,11
-35.498,147.204,30
-35.241,143.654,59
-35.485,145.714,98
-35.487,145.735,83
-35.152,142.511,62
-35.488,145.708,90
-35.49,145.729,91
-35.382,144.118,60
-35.899,143.204,62
-36.108,143.065,72
-36.115,143.074,56
-36.937,149.423,37
-36.928,149.375,48
-36.93,149.416,83
-36.426,142.837,51
-36.593,142.178,55
-36.65,142.587,82
-36.651,142.601,93
-36.664,142.005,62
-36.816,142.443,63
-36.826,142.441,61
-36.868,141.5,64
-36.877,141.498,71
-37.378,146.113,42
-37.781,148.389,55
-37.514,143.438,51
-37.941,146.063,43
-37.901,144.375,53
-37.902,144.394,82
-37.914,144.392,68
-21.218,-40.003,43
-21.199,-43.814,53
-20.25,-40.242,80
-20.241,-40.244,100
-20.509,-43.418,44
-12.531,-46.537,61
-7.928,-47.015,64
-3.348,-47.151,16
-21.906,-39.737,82
11.107,12.632,59
31.862,6.179,7
31.635,5.989,52
28.894,10.028,78
37.486,129.059,67
36.158,126.988,0
35.095,128.86,45
10.011,122.771,61
9.664,122.817,68
6.424,125.234,56
-2.831,122.159,48
-5.564,120.037,31
-15.431,128.879,19
-15.47,128.869,30
-15.79,127.378,60
-15.79,127.372,54
-16.437,128.177,59
-16.447,128.171,63
-16.518,127.273,44
-16.518,127.268,63
-16.828,127.912,68
-16.831,127.943,48
-16.823,127.906,64
-16.826,127.937,68
-17.479,128.59,73
-17.483,128.627,57
-20.2,127.955,58
-20.207,127.95,75
-23.777,121.343,58
-23.779,121.357,84
-23.788,121.342,76
-23.789,121.355,85
-23.757,121.005,80
-28.993,115.532,65
-28.994,115.542,70
-30.008,117.424,78
-30.171,117.417,66
-30.218,116.298,30
-32.785,116.537,63
-33.088,118.972,83
-33.019,116.632,69
-33.228,117.043,68
-33.34,117.51,36
-33.341,117.522,73
-34.592,116.407,74
50.491,136.875,29
50.367,136.771,91
50.365,136.785,90
50.356,136.782,64
50.326,129.473,65
49.917,128.968,68
49.906,128.966,65
49.071,134.004,36
48.911,134.687,86
48.902,134.684,73
48.897,134.724,82
48.895,134.738,74
48.897,134.654,92
48.895,134.668,85
48.857,134.81,40
48.85,134.794,39
48.841,134.791,57
48.841,134.721,73
48.834,134.774,97
48.832,134.788,91
48.981,133.428,77
48.965,133.409,62
48.961,133.364,89
48.943,133.358,72
48.934,133.356,94
48.979,132.494,51
48.931,132.724,53
48.763,134.019,80
48.735,134.223,81
48.922,132.721,91
48.92,132.736,60
48.734,134.166,84
48.732,134.18,77
48.917,132.714,76
48.915,132.728,84
48.681,134.215,87
48.71,133.94,94
48.701,133.937,97
48.678,134.101,99
48.692,133.934,100
48.69,133.948,96
48.669,134.098,61
48.681,133.945,78
48.679,133.959,34
48.66,134.095,79
48.672,133.943,90
48.67,133.956,73
48.663,133.947,84
48.661,133.961,67
48.659,133.975,59
48.657,133.988,55
48.862,132.093,28
48.853,132.091,71
48.79,132.292,66
48.806,132.119,48
48.391,133.081,68
48.381,133.078,40
48.469,131.707,64
48.461,131.689,37
47.994,134.81,66
47.992,134.824,44
47.88,135.511,72
47.878,135.524,56
48.289,132.51,48
48.287,132.525,73
47.936,134.895,24
47.927,134.892,100
47.925,134.906,99
47.916,134.903,66
47.997,134.142,42
48.213,131.543,96
48.211,131.558,93
48.209,131.574,91
48.208,131.589,64
48.203,131.54,100
48.202,131.555,94
48.2,131.571,51
