latitude,longitude,confidence,,,
32.824,-84.897,73,,,
33.233,-87.511,58,,,
32.776,-85.715,52,,,
32.502,-85.569,72,,,
32.501,-85.558,62,,,
32.372,-84.79,76,,,
32.37,-84.778,75,,,
32.284,-85.426,69,,,
32.256,-85.493,20,,,
31.857,-84.434,57,,,
31.856,-84.427,55,,,
31.655,-83.657,76,,,
30.717,-86.209,45,,,
30.707,-86.211,73,,,
30.579,-85.618,41,,,
30.576,-85.625,29,,,
30.769,-87.291,76,,,
30.768,-87.28,77,,,
30.759,-87.282,87,,,
30.757,-87.271,67,,,
30.749,-87.279,81,,,
29.743,-81.943,96,,,
29.739,-81.923,54,,,
30.497,-86.799,75,,,
30.495,-86.788,80,,,
30.489,-86.795,84,,,
43.862,-98.095,53,,,
43.86,-98.103,61,,,
42.296,-83.167,61,,,
23.017,-81.795,63,,,
25.411,-98.42,65,,,
23.015,-81.802,69,,,
22.975,-81.895,79,,,
22.96,-81.898,52,,,
22.577,-81.162,72,,,
22.58,-81.166,45,,,
22.739,-82.397,76,,,
22.734,-82.405,68,,,
22.677,-83.068,74,,,
22.056,-80.301,50,,,
22.066,-80.304,56,,,
21.804,-79.646,46,,,
21.785,-79.656,58,,,
22.002,-84.251,45,,,
21.334,-87.123,36,,,
21.332,-87.11,83,,,
21.33,-87.098,80,,,
21.32,-87.1,89,,,
21.308,-87.153,58,,,
21.306,-87.141,85,,,
21.296,-87.143,99,,,
21.298,-87.148,94,,,
21.296,-87.136,86,,,
21.281,-87.113,97,,,
21.139,-87.43,64,,,
21.075,-87.787,54,,,
21.065,-87.789,75,,,
21.156,-88.797,79,,,
21.138,-88.864,94,,,
21.136,-88.853,71,,,
21.129,-88.865,81,,,
21.111,-88.917,69,,,
21.105,-88.876,83,,,
21.216,-89.657,45,,,
20.968,-88.502,83,,,
20.964,-88.509,81,,,
20.962,-88.498,77,,,
20.923,-88.317,80,,,
20.922,-88.306,91,,,
20.918,-88.766,80,,,
20.912,-88.763,71,,,
20.998,-89.556,79,,,
20.996,-89.547,77,,,
20.755,-88.36,96,,,
20.754,-88.349,81,,,
